date,soil_moisture,sm_model,sm_surface,sm_root,sm_deep,sm_integrated,precip_mm,site_id,depth_m
2020-01-01,0.076625,0.1728611240395314,0.15442462896078177,0.18207937157890622,0.21382033205017148,0.19835847359985292,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-02,0.076375,0.16018549049507247,0.12935727757180326,0.17559959695670707,0.2125330740562073,0.19313545127791681,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-03,0.07658333333333334,0.15001534122777935,0.1090496809547983,0.17049817136426987,0.21106843819042553,0.1886954824190161,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-04,0.07629166666666666,0.1419722240028838,0.09304176410226198,0.16643745395319473,0.20945820649396724,0.18491033649256494,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-05,0.076375,0.1387450986778194,0.08915663874999998,0.16353932864172913,0.20775620533719988,0.18263118566983866,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-06,0.076125,0.13733464206579918,0.08915663874999998,0.16142364372369877,0.20597576357881878,0.18092821513940088,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-07,0.07625,0.1358601152748455,0.08915663874999998,0.1592118535372683,0.20404802603546113,0.17910803555745716,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-08,0.0765,0.13465100520524956,0.08915663874999998,0.15739818843287434,0.2020335726580017,0.1773552639996633,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-09,0.07633333333333332,0.13312480538523175,0.08915663874999998,0.15510888870284764,0.19987175847494587,0.17537138557082182,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-10,0.07666666666666666,0.13212180249142377,0.08915663874999998,0.1536043843621357,0.1977051356692749,0.17362006058520563,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-11,0.07645833333333334,0.13143047865325755,0.08915663874999998,0.15256739860488633,0.1955411142051681,0.17201055197956674,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-12,0.07675,0.13092621597169934,0.08915663874999998,0.15181100458254904,0.1933842970129336,0.17048954345752487,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-13,0.0765,0.13000075356568927,0.08915663874999998,0.15042281097353394,0.19113042978056163,0.16872076503539715,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-14,0.07658333333333334,0.1295877001406527,0.08915663874999998,0.1498032308359791,0.18892819426953938,0.16721354968751737,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-15,0.0765,0.12900554689088362,0.08915663874999998,0.14893000096132544,0.18668884990574508,0.1656079741068447,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-16,0.07666666666666666,0.12882400396083493,0.08915663874999998,0.14865768656625242,0.18451112070458836,0.16421964226762875,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-17,0.07670833333333334,0.1285509978921723,0.08915663874999998,0.1482481774632585,0.1823334460103444,0.1627901847201842,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-18,0.076875,0.1281713629605925,0.08915663874999998,0.14767872506588878,0.18014409227061706,0.16130573675713686,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-19,0.076875,0.12788863270020162,0.08915663874999998,0.14725462967530245,0.17797391102686458,0.15987639939370948,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-20,0.07691666666666667,0.12803958581123367,0.08915663874999998,0.14748105934185052,0.17589930006342033,0.15869956171560734,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-21,0.07745833333333334,0.12810450135643706,0.08915663874999998,0.1475784326596556,0.17385574492326253,0.1575026406268542,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-22,0.07754166666666666,0.12820464643439716,0.08915663874999998,0.14772865027659576,0.17185886592954402,0.15634957851570513,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-23,0.07758333333333334,0.12776499019990467,0.08915663874999998,0.14706916592485703,0.16979599257591216,0.1549140091980044,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-24,0.077375,0.12732085801291806,0.08915663874999998,0.14640296764437713,0.16772419711414852,0.15347107243680225,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-25,0.07745833333333334,0.12670460338916825,0.08915663874999998,0.14547858570875238,0.16560959833597338,0.15192499858920974,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-26,0.07733333333333332,0.12664089154734284,0.08915663874999998,0.1453830179460143,0.16358178422241018,0.1506796397922504,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-27,0.07741666666666668,0.126684959553306,0.08915663874999998,0.14544911995495902,0.1616027049164915,0.1495120228113826,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-28,0.07720833333333334,0.12670547496648146,0.08915663874999998,0.1454798930747222,0.15965548326104287,0.14835292175404236,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-29,0.07704166666666666,0.1266339822920127,0.08915663874999998,0.14537265406301905,0.15772363863990368,0.14716164327784792,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-30,0.07720833333333334,0.12616618176473635,0.08915663874999998,0.14467095327210452,0.1557371830490537,0.14575925968606357,0.0,TAHMO_CSIR-SARITanina,0.3
2020-01-31,0.07716666666666666,0.12624289041711986,0.08915663874999998,0.1447860162506798,0.1538479142723505,0.14466021731361423,0.0,TAHMO_CSIR-SARITanina,0.3
2020-02-01,0.07733333333333332,0.12609200194175557,0.08915663874999998,0.14455968353763338,0.15195123838733868,0.1434543119686932,0.0,TAHMO_CSIR-SARITanina,0.3
