feature,importance
soil_moisture_roll3d_mean,10021.459324632036
soil_moisture_lag1d,1649.4379569952198
soil_moisture_roll7d_mean,459.894086767755
soil_moisture_diff1d,325.2157184373026
soil_moisture_lag2d,66.6966147698954
soil_moisture_roll3d_std,44.96639619875327
soil_moisture_trend7d,38.23668420064132
soil_moisture_roll14d_mean,33.554296464683745
soil_moisture_roll7d_std,4.264893535464509
soil_moisture_lag7d,3.768788496395281
soil_moisture_lag3d,2.6808739116009406
depth_cm,0.8778174420006337
precip_cum30d,0.41978465923011754
soil_moisture_roll14d_std,0.04583482356596846
soil_moisture_lag14d,0.036172575163174986
day_of_year_sin,0.03012994509550282
days_since_rain_5mm,0.02636607805419544
physics_prior_deep,0.024197304530256175
day_of_year_cos,0.020766717983299154
physics_prior_surface,0.017622708655153474
precipitation_mm_roll14d_std,0.017609148527981233
precipitation_mm_roll3d_mean,0.01694155167928102
precipitation_mm_roll3d_std,0.014751218059018356
relative_humidity_2m_roll14d_std,0.0124330419597527
relative_humidity_2m_roll7d_std,0.011906133380705342
et0_mm_roll7d_std,0.010291660815653358
et0_mm_roll14d_std,0.01002114907601026
et0_mm_roll14d_mean,0.00969589505143631
physics_prior_root,0.00938718702798269
temperature_2m_roll14d_mean,0.009360519651114174
relative_humidity_2m_roll3d_mean,0.008354981470120038
et0_mm_roll3d_mean,0.008342055278603766
temperature_2m,0.008287203401096122
precipitation_mm_roll7d_std,0.008195986420247436
et0_mm_roll3d_std,0.007507537870935721
temperature_2m_roll14d_std,0.00745761504028053
precip_cum3d,0.0070053442118478415
precipitation_mm_roll14d_mean,0.006616295083162527
temperature_2m_roll3d_mean,0.006567439985019519
physics_residual_roll30d,0.006404228657785893
physics_prior_surface_lag2d,0.0062331507492672245
p_minus_et_cum30d,0.0061211532336074015
relative_humidity_2m_roll7d_mean,0.006045756298192373
relative_humidity_2m_roll14d_mean,0.006038341145085724
physics_prior_surface_lag14d,0.005648665372518735
temperature_2m_roll7d_mean,0.004801026728898705
physics_prior_surface_lag7d,0.004479159417094536
temperature_2m_roll3d_std,0.004413032018646845
et0_mm,0.004390616849331508
physics_prior_surface_roll14d_std,0.004265363129405841
p_minus_et_cum14d,0.0042255456635302835
et0_mm_roll7d_mean,0.003650532659449368
physics_prior_surface_roll7d_std,0.0036436264504686733
physics_residual_roll14d,0.0034285553426229853
physics_prior_surface_lag3d,0.0033459700814546522
physics_prior_surface_diff1d,0.003336124423569231
precipitation_mm,0.0032230122579761655
physics_prior_surface_trend7d,0.0031354097454538987
relative_humidity_2m_roll3d_std,0.003129987086595065
temperature_2m_roll7d_std,0.00300129630943502
physics_prior_surface_roll3d_std,0.0028437730227395264
relative_humidity_2m,0.0026856269551842615
physics_prior_surface_roll14d_mean,0.002624010241106589
et0_cum7d,0.0023050554319752337
physics_prior_surface_lag1d,0.0020915706841151405
precipitation_mm_roll7d_mean,0.002034260943219124
physics_prior_surface_roll7d_mean,0.0016233358821864385
p_minus_et_cum7d,0.0012582275080603722
et0_cum14d,0.0011315161543734575
et0_cum3d,0.0010940086133928162
precip_cum14d,0.0010637598720677488
physics_residual_roll7d,0.0009642041211463948
precip_cum7d,0.0009416942330062739
physics_prior_surface_roll3d_mean,0.0008892328110050585
