feature,importance
soil_moisture_roll14d_mean,6227.135173385148
soil_moisture_roll7d_mean,1380.4051356255077
soil_moisture_roll3d_mean,475.1493220804259
day_of_year_cos,207.8495062322636
soil_moisture_lag14d,188.5095488196239
day_of_year_sin,176.4520166321454
temperature_2m_roll14d_mean,165.85440291438135
soil_moisture_roll14d_std,143.78732136974577
physics_prior_deep,127.73616206244333
soil_moisture_lag7d,125.82759086118313
depth_cm,96.65814976859838
relative_humidity_2m_roll14d_std,95.28043494117446
temperature_2m_roll7d_mean,86.971738309192
days_since_rain_5mm,65.26838830439374
soil_moisture_roll7d_std,61.6788288630778
physics_residual_roll30d,59.74420230186661
relative_humidity_2m_roll14d_mean,58.334910253528506
temperature_2m,57.735849587479606
temperature_2m_roll14d_std,55.01140612200834
soil_moisture_lag1d,53.18140504928306
et0_mm_roll14d_std,52.81442487752065
physics_prior_surface,49.283116258797236
physics_prior_root,48.89946279942524
p_minus_et_cum30d,48.25529705162626
soil_moisture_lag3d,46.22502153227106
et0_mm_roll7d_std,42.060806897934526
et0_mm_roll14d_mean,42.04033169010654
temperature_2m_roll3d_mean,40.59511575172655
precipitation_mm_roll14d_std,39.611673209350556
precip_cum30d,36.62160684901755
soil_moisture_trend7d,34.04102054564282
physics_residual_roll14d,33.236672633793205
soil_moisture_lag2d,28.431743381894194
precipitation_mm_roll3d_std,27.287403769791126
soil_moisture_roll3d_std,23.52122388756834
physics_prior_surface_roll3d_mean,21.932340798783116
physics_prior_surface_roll14d_std,21.600672796266736
soil_moisture_diff1d,20.551544094632845
physics_prior_surface_roll14d_mean,20.313436426455155
relative_humidity_2m_roll7d_std,19.200997242238373
precipitation_mm_roll7d_std,18.98671602527611
physics_prior_surface_lag14d,18.91802382969763
temperature_2m_roll7d_std,17.459824735298753
et0_mm_roll3d_std,15.624470004811883
relative_humidity_2m_roll7d_mean,15.158212680602446
physics_prior_surface_roll7d_mean,15.083511944394559
temperature_2m_roll3d_std,14.812274610740133
et0_mm,14.295317157870159
et0_cum14d,14.116896626539528
et0_mm_roll7d_mean,13.630049176048487
relative_humidity_2m,13.559990058769472
relative_humidity_2m_roll3d_std,11.936608065851033
p_minus_et_cum14d,11.826770430896431
precipitation_mm_roll14d_mean,11.031250991858542
physics_prior_surface_roll7d_std,10.96353839756921
et0_mm_roll3d_mean,10.098487105191452
relative_humidity_2m_roll3d_mean,9.259563421830535
p_minus_et_cum7d,8.325108773075044
precipitation_mm_roll7d_mean,8.107925034331856
physics_prior_surface_trend7d,7.748776346677914
physics_prior_surface_roll3d_std,6.407505826558918
physics_prior_surface_lag1d,6.299983012751909
physics_prior_surface_lag2d,4.870832067914307
physics_prior_surface_diff1d,4.758087671827525
precipitation_mm,4.720977959688753
physics_prior_surface_lag7d,4.256565586896613
physics_residual_roll7d,4.132019994780421
physics_prior_surface_lag3d,4.023592748213559
precip_cum14d,3.8752607349306345
et0_cum7d,2.739681485109031
precip_cum7d,2.642369653098285
et0_cum3d,2.5792318591848016
precipitation_mm_roll3d_mean,2.4145173996221274
precip_cum3d,1.2894414076581597
