feature,importance
soil_moisture_roll14d_mean,6309.606732793152
soil_moisture_roll7d_mean,1126.5134194949642
soil_moisture_roll3d_mean,656.4651146549731
soil_moisture_lag14d,528.6597971552983
soil_moisture_lag1d,119.56545186135918
depth_cm,106.64636071037967
day_of_year_cos,83.39142642839579
days_since_rain_5mm,78.59112184122205
day_of_year_sin,78.35304435528815
soil_moisture_roll14d_std,76.8413855691906
soil_moisture_lag3d,69.1741351748351
soil_moisture_roll7d_std,60.7810762533918
physics_residual_roll14d,60.06406992673874
physics_prior_deep,48.84511545766145
temperature_2m_roll14d_mean,46.73523518908769
temperature_2m,45.55177883245051
physics_residual_roll30d,43.552534070797265
soil_moisture_trend7d,42.97188148833811
soil_moisture_diff1d,39.019529360346496
physics_prior_root,33.282201257534325
soil_moisture_lag7d,30.421324286609888
soil_moisture_lag2d,29.007902368786745
physics_prior_surface,26.554224687628448
temperature_2m_roll7d_mean,25.91883925627917
soil_moisture_roll3d_std,23.934779247734696
temperature_2m_roll3d_mean,23.386741319904104
et0_mm_roll14d_std,22.152529175626114
temperature_2m_roll14d_std,21.278545065317303
et0_mm_roll7d_std,18.5451416708529
relative_humidity_2m_roll14d_std,18.510903764516115
p_minus_et_cum30d,17.96149788191542
et0_mm_roll14d_mean,17.2317233690992
precip_cum30d,16.58512312802486
precipitation_mm_roll7d_std,15.699985552579165
relative_humidity_2m_roll14d_mean,14.555727571249008
physics_prior_surface_trend7d,13.450309908483177
physics_prior_surface_roll3d_mean,12.096983522176743
precipitation_mm_roll14d_std,11.259199727326632
temperature_2m_roll7d_std,10.777002486400306
et0_cum14d,9.218482788652182
relative_humidity_2m_roll7d_std,8.917989201843739
et0_mm,8.059388463152573
et0_mm_roll3d_std,7.238166048191488
et0_mm_roll7d_mean,6.802353831939399
physics_prior_surface_lag14d,6.738090007565916
physics_prior_surface_roll14d_mean,6.125608801841736
physics_prior_surface_roll14d_std,5.505268846754916
precipitation_mm_roll14d_mean,5.19121887156507
relative_humidity_2m,4.8056823732331395
p_minus_et_cum14d,4.775472701527178
relative_humidity_2m_roll7d_mean,4.661142235156149
relative_humidity_2m_roll3d_mean,4.28050056938082
physics_prior_surface_roll7d_mean,4.230983824469149
precipitation_mm_roll7d_mean,4.073584793601185
physics_residual_roll7d,3.9779702527448535
physics_prior_surface_roll7d_std,3.973496227292344
physics_prior_surface_lag1d,3.414755710400641
physics_prior_surface_lag7d,3.2910589925013483
physics_prior_surface_roll3d_std,3.2120338892564178
physics_prior_surface_lag3d,3.086461091414094
physics_prior_surface_lag2d,2.960768993012607
et0_mm_roll3d_mean,2.9286061841994524
relative_humidity_2m_roll3d_std,2.896507437195396
p_minus_et_cum7d,2.7186791952699423
physics_prior_surface_diff1d,2.673636995255947
precipitation_mm,2.6341355305630714
temperature_2m_roll3d_std,2.5289564898703247
precip_cum14d,2.417653715237975
precipitation_mm_roll3d_std,1.7868005046620965
precip_cum7d,1.5469903256744146
et0_cum3d,1.3354434054344893
precipitation_mm_roll3d_mean,1.055635912809521
et0_cum7d,1.0480403043329716
precip_cum3d,0.2528585959225893
