date,soil_moisture,sm_model,sm_surface,sm_root,sm_deep,sm_integrated,precip_mm,site_id,depth_m
2020-01-01,0.161,0.20006420086971163,0.16109251293310448,0.19503689259147855,0.22709100725536488,0.21087492342397293,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-02,0.161,0.19209346047712544,0.13528711291848286,0.1884994923084556,0.22588758650945157,0.2056111108900559,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-03,0.161,0.18543427005908233,0.11383707577456796,0.1832595670365388,0.2244949217351548,0.20105853072951133,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-04,0.161,0.180234261048105,0.09781839232757633,0.17921642423578396,0.2229689506268509,0.19732813687960338,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-05,0.161,0.17777916965699078,0.09494283875000001,0.17634342318113927,0.22135095482426342,0.19520788372389983,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-06,0.16104166666666667,0.17568674459980738,0.09494283875000001,0.17336805322977475,0.21953673457976008,0.19322674059178846,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-07,0.161,0.17396998308664863,0.09494283875000001,0.17119755599322684,0.21764219589510564,0.19143886821003142,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-08,0.161,0.17227875552993943,0.09494283875000001,0.16915820348206878,0.21562754199171516,0.18961827011464974,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-09,0.161,0.1704464215511841,0.09494283875000001,0.16693098228503606,0.2134713718509982,0.18765640167110975,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-10,0.161,0.16937523755781597,0.09494283875000001,0.16616752288016873,0.21140300897819486,0.18618634612596754,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-11,0.161,0.16829106412305833,0.09494283875000001,0.1653903036429843,0.20931631752969854,0.1847011654857144,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-12,0.161,0.1672572950526639,0.09494283875000001,0.16471609701050846,0.20722632026722906,0.18324490513848998,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-13,0.161,0.16588629956951015,0.09494283875000001,0.1634290595766141,0.2050438899686093,0.18154933572914983,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-14,0.161,0.16423827551743764,0.09494283875000001,0.16166263300894587,0.20274945766389418,0.17964274837602026,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-15,0.161,0.16277274247324058,0.09494283875000001,0.16027818304024088,0.20042953348436038,0.17783545887768848,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-16,0.161,0.16141394539369322,0.09494283875000001,0.15912154159125694,0.19808810441919428,0.17608360900389364,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-17,0.161,0.16045911449405903,0.09494283875000001,0.1587294807491936,0.19581170298338668,0.17460014988979008,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-18,0.161,0.15940181685571678,0.09494283875000001,0.15814298092805606,0.19351955980006624,0.17304891403345657,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-19,0.161,0.15858614899231271,0.09494283875000001,0.1580013090202763,0.1912850640715237,0.1716657150239971,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-20,0.161,0.15768889219563442,0.09494283875000001,0.15769421971786254,0.18905392763510948,0.17023490637142444,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-21,0.16104166666666667,0.15705348729796542,0.09494283875000001,0.1578588304192799,0.1869007968899764,0.16899241113476982,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-22,0.161,0.15596435712354148,0.09494283875000001,0.15716354759278367,0.18467633060644892,0.16744914651670445,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-23,0.161,0.15485493386491478,0.09494283875000001,0.15643697527300635,0.18243791931023487,0.16588812804304282,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-24,0.161,0.15399932520314552,0.09494283875000001,0.15618354657590874,0.18025123637057347,0.1645000896701167,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-25,0.161,0.15301958236565041,0.09494283875000001,0.1556913597531655,0.178050288092203,0.16303186465627145,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-26,0.161,0.1521594861532528,0.09494283875000001,0.15541720239097231,0.17588123549829995,0.16164818589127167,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-27,0.161,0.15155443072429226,0.09494283875000001,0.15560154614164856,0.17378955358540396,0.16044847986873695,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-28,0.161,0.1510143797750644,0.09494283875000001,0.15587836776966282,0.17175416829569903,0.15931029518331827,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-29,0.161,0.15036938099536679,0.09494283875000001,0.1559325236282738,0.1697379381686896,0.1581168038646959,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-30,0.161,0.14947068422421902,0.09494283875000001,0.15549967774065115,0.16769111668668035,0.15675885720920354,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
2020-01-31,0.16108333333333333,0.14884915649490665,0.09494283875000001,0.15557327665076479,0.1657161351335728,0.15559594795037313,0.0,TAHMO_CSIR-SARINyankpala-Tamale,0.6
