feature,importance
soil_moisture_roll14d_mean,4584.435736872256
soil_moisture_lag3d,788.4274874180555
soil_moisture_roll7d_mean,736.3230912536383
soil_moisture_lag7d,382.12309401482344
soil_moisture_lag14d,248.74056919664145
day_of_year_cos,146.26951472461224
day_of_year_sin,134.35192890278995
physics_prior_deep,109.82207181677222
soil_moisture_roll3d_mean,91.00865761563182
depth_cm,89.22080745920539
temperature_2m_roll14d_mean,87.6710504591465
soil_moisture_lag2d,80.7212910875678
soil_moisture_roll14d_std,77.71756297722459
relative_humidity_2m_roll14d_std,59.1535650677979
temperature_2m_roll7d_mean,55.34521563351154
soil_moisture_lag1d,54.105922147631645
temperature_2m_roll14d_std,42.55964259430766
p_minus_et_cum30d,36.6088798828423
relative_humidity_2m_roll14d_mean,35.39156812429428
soil_moisture_roll7d_std,32.312245797365904
physics_prior_surface_lag14d,30.885895803570747
days_since_rain_5mm,27.27514061331749
physics_prior_root,26.302381793037057
et0_mm_roll7d_std,21.607603013515472
soil_moisture_roll3d_std,21.150080159306526
soil_moisture_diff1d,19.071718495339155
precipitation_mm_roll14d_std,18.21711576357484
precip_cum30d,17.176417452283204
et0_mm_roll14d_std,15.582617662847042
physics_prior_surface_roll14d_std,14.89329969137907
physics_residual_roll30d,14.455956302583218
physics_prior_surface_roll14d_mean,13.10011526569724
temperature_2m_roll3d_mean,12.668104890733957
et0_mm_roll14d_mean,12.37450213637203
soil_moisture_trend7d,11.438012631610036
relative_humidity_2m_roll7d_mean,11.22957811690867
relative_humidity_2m_roll7d_std,10.962158516049385
temperature_2m,10.676959826610982
temperature_2m_roll3d_std,10.27922760695219
temperature_2m_roll7d_std,9.052905276417732
physics_prior_surface,9.042712584137917
physics_prior_surface_roll3d_mean,7.4657544903457165
physics_prior_surface_lag7d,6.8658237382769585
physics_prior_surface_roll7d_mean,6.725727858021855
physics_prior_surface_lag1d,5.564171090722084
physics_prior_surface_lag2d,5.510558627545834
relative_humidity_2m,5.260326288640499
et0_mm,4.8747272957116365
relative_humidity_2m_roll3d_std,4.511826626956463
et0_cum14d,3.821910113096237
p_minus_et_cum14d,3.566476993262768
precipitation_mm_roll7d_std,3.5328494645655155
et0_mm_roll7d_mean,3.5324910804629326
physics_prior_surface_lag3d,3.3057838454842567
et0_mm_roll3d_mean,2.7465741708874702
precipitation_mm_roll3d_std,2.5395168466493487
physics_residual_roll14d,2.4679167978465557
et0_mm_roll3d_std,2.407708205282688
physics_prior_surface_roll7d_std,2.36518070474267
relative_humidity_2m_roll3d_mean,2.2606727071106434
physics_prior_surface_roll3d_std,2.219336710870266
et0_cum3d,1.6988480985164642
et0_cum7d,1.666876893490553
precipitation_mm,1.4164724983274937
p_minus_et_cum7d,1.3813309893012047
precipitation_mm_roll14d_mean,1.2964773029088974
physics_prior_surface_trend7d,1.0870676105841994
precip_cum14d,0.685933418571949
precipitation_mm_roll7d_mean,0.6345416940748692
precipitation_mm_roll3d_mean,0.5448829978704453
precip_cum7d,0.5319335088133812
physics_residual_roll7d,0.11465200036764145
physics_prior_surface_diff1d,0.04517170041799545
precip_cum3d,0.014914000406861305
