feature,importance
soil_moisture_roll14d_mean,5676.619447214296
soil_moisture_roll7d_mean,1254.1300152083859
soil_moisture_roll3d_mean,428.4766818713397
day_of_year_cos,177.23874671338126
temperature_2m_roll14d_mean,169.72783331014216
soil_moisture_lag14d,144.70698243170045
soil_moisture_lag7d,142.2343068041373
day_of_year_sin,130.7124928803787
soil_moisture_roll14d_std,94.2253537356737
physics_prior_deep,93.28534021717496
depth_cm,58.484175567515194
days_since_rain_5mm,58.07508323946968
soil_moisture_lag1d,52.15285582654178
soil_moisture_roll7d_std,50.92519064876251
relative_humidity_2m_roll14d_mean,44.95327445604198
temperature_2m_roll7d_mean,43.25101707223803
relative_humidity_2m_roll14d_std,38.24978389090393
physics_residual_roll30d,36.34847100102343
temperature_2m,35.85067428601906
temperature_2m_roll14d_std,35.06769507371064
soil_moisture_lag3d,34.36397540103644
physics_prior_root,32.24808826390654
et0_mm_roll14d_std,29.683760435902514
physics_prior_surface,29.317815073765814
temperature_2m_roll3d_mean,28.417452634777874
precipitation_mm_roll14d_std,25.377359070349485
p_minus_et_cum30d,25.33913707267493
et0_mm_roll7d_std,25.16359855607152
soil_moisture_roll3d_std,23.74240465182811
soil_moisture_trend7d,22.939722618326414
soil_moisture_diff1d,20.9780758805573
soil_moisture_lag2d,20.683870702050626
et0_mm_roll14d_mean,20.4895246187225
precip_cum30d,17.728783388389274
temperature_2m_roll7d_std,13.571995370555669
physics_residual_roll14d,12.592018798779463
temperature_2m_roll3d_std,12.53330733627081
physics_prior_surface_lag14d,12.46818161290139
et0_mm_roll3d_std,11.507537263445556
physics_prior_surface_roll14d_std,11.455447241482034
physics_prior_surface_roll7d_mean,11.3829741923837
precipitation_mm_roll7d_std,11.10069104610011
precipitation_mm_roll3d_std,10.460781287401915
physics_prior_surface_roll3d_mean,10.36695091141155
relative_humidity_2m_roll7d_std,10.291832053102553
p_minus_et_cum14d,9.330655387137085
relative_humidity_2m_roll7d_mean,8.49900557519868
relative_humidity_2m_roll3d_std,8.353880480863154
physics_prior_surface_roll14d_mean,8.301137864589691
et0_mm_roll7d_mean,7.525228187645553
et0_mm,6.858647121116519
relative_humidity_2m,6.157761504873633
physics_prior_surface_roll7d_std,5.952674969565123
physics_prior_surface_lag1d,5.6339594684541225
relative_humidity_2m_roll3d_mean,5.4146830681711435
et0_cum14d,5.167821383103728
et0_mm_roll3d_mean,4.266985824331641
precipitation_mm_roll14d_mean,4.023670200258493
p_minus_et_cum7d,3.7100913655012846
physics_prior_surface_trend7d,3.1767661161720753
physics_prior_surface_lag2d,2.5010509062558413
physics_prior_surface_roll3d_std,2.406815860187635
physics_prior_surface_diff1d,2.2397438855841756
precipitation_mm_roll7d_mean,2.0686976928263903
precipitation_mm,1.5760986562818289
et0_cum7d,1.451219224734814
physics_prior_surface_lag7d,1.3431742936372757
precipitation_mm_roll3d_mean,1.1522507751360536
physics_prior_surface_lag3d,1.0421505011618137
precip_cum14d,0.9467463027685881
physics_residual_roll7d,0.8618680983781815
precip_cum7d,0.6825813995674253
et0_cum3d,0.4882811065763235
precip_cum3d,0.4366440922021866
