feature,importance
soil_moisture_roll3d_mean,8080.780755541343
soil_moisture_lag1d,1327.2431525015827
soil_moisture_roll7d_mean,358.94332446805106
soil_moisture_diff1d,306.40458688934126
soil_moisture_lag2d,68.17023614325537
soil_moisture_roll3d_std,48.63243904156369
soil_moisture_trend7d,40.08466712344199
soil_moisture_roll14d_mean,26.68189710757258
soil_moisture_lag7d,7.125525593030855
soil_moisture_roll7d_std,2.7326953866555717
soil_moisture_lag3d,1.215030484053706
physics_prior_surface_lag14d,1.02557181021416
depth_cm,0.6976317300199923
precip_cum30d,0.3402173496621712
soil_moisture_roll14d_std,0.16541086026393614
soil_moisture_lag14d,0.05561878838409484
days_since_rain_5mm,0.04932786638207887
day_of_year_sin,0.031438819411157226
physics_prior_deep,0.02672561740303081
day_of_year_cos,0.02166235405337602
temperature_2m_roll14d_mean,0.011745245599286136
et0_mm_roll7d_std,0.010166822139495935
relative_humidity_2m_roll14d_std,0.009912075362308315
precipitation_mm_roll7d_std,0.009862172066902986
precipitation_mm_roll14d_std,0.009661380415398213
precipitation_mm_roll3d_std,0.008972313108529306
et0_mm_roll14d_std,0.008035735321584525
precipitation_mm_roll3d_mean,0.007492618877222412
physics_prior_root,0.007345017126112907
temperature_2m,0.006910182195838388
physics_residual_roll14d,0.006719635021795511
relative_humidity_2m_roll7d_std,0.006540917216934616
physics_prior_surface_roll14d_mean,0.006529085260353895
temperature_2m_roll3d_mean,0.006460864623093698
temperature_2m_roll14d_std,0.006222341002285248
relative_humidity_2m_roll3d_mean,0.005995301894017757
temperature_2m_roll3d_std,0.005740102760228183
physics_residual_roll30d,0.005448721928345002
physics_prior_surface_lag3d,0.00513132298419805
temperature_2m_roll7d_mean,0.005016423352843802
et0_mm_roll3d_std,0.005010983659906376
physics_prior_surface_trend7d,0.005005494339798133
p_minus_et_cum30d,0.004691536936661578
et0_mm_roll14d_mean,0.004579376980473171
relative_humidity_2m_roll14d_mean,0.0045422971534208045
physics_prior_surface,0.004387925906928325
physics_prior_surface_roll7d_std,0.004363241811006446
physics_prior_surface_diff1d,0.003946583605431542
relative_humidity_2m_roll7d_mean,0.0039051190460668295
physics_prior_surface_roll3d_std,0.0038980181088277277
temperature_2m_roll7d_std,0.00365350843867418
physics_prior_surface_roll14d_std,0.0036361034019876115
relative_humidity_2m,0.0036157268477836624
et0_mm,0.0034847460497999805
precip_cum3d,0.0027957666575275653
et0_mm_roll3d_mean,0.002708219526908806
precipitation_mm_roll14d_mean,0.0026871183808907517
relative_humidity_2m_roll3d_std,0.0024705973955860827
physics_prior_surface_lag7d,0.002448387548156461
p_minus_et_cum7d,0.0022526940879785684
et0_cum7d,0.002109253530420574
precipitation_mm_roll7d_mean,0.002051983543424285
physics_prior_surface_lag2d,0.0018313497585324967
precipitation_mm,0.0018149412444472546
et0_cum3d,0.0016861796329976642
et0_mm_roll7d_mean,0.001618420592876646
physics_prior_surface_roll7d_mean,0.001499918630997854
p_minus_et_cum14d,0.0013211487118951482
physics_prior_surface_lag1d,0.0013203964404056023
et0_cum14d,0.001263467621242853
physics_residual_roll7d,0.001261211335318535
physics_prior_surface_roll3d_mean,0.0007914592606539372
precip_cum14d,0.0006707731504320691
precip_cum7d,0.0006424695116038492
