station_id,clay_pct_first,sand_pct_first,organic_carbon_pct_first,saturation_first,latitude_first,longitude_first,elevation_m_first,precipitation_mm_mean,et0_mm_mean,temperature_mean_c_mean,residual_mean,residual_std,soil_moisture_mean,soil_moisture_std,physics_prior_mean,physics_prior_std,cluster
Apakope_Kayove,40.0,46.0,3.91,0.49,-1.88079,29.34936,1987.0,11.911240310077519,3.360329457364341,16.387500000000003,0.014263612694520544,0.05942609967359229,0.3551014591842422,0.05333692188621111,0.3408378464897216,0.039132164140356945,4
"Atebubu_SHS,_Atebubu",24.0,56.0,0.74,0.41,7.74029,-0.97168,147.0,2.6708428246013667,4.408109339407745,27.994077448747152,-0.0046471611342572446,0.05266587305191832,0.14893977373723247,0.07958180159638982,0.1535869348714897,0.06343932628683226,2
Base_Titanium_Dam,12.0,67.0,0.52,0.41,-4.40624,39.43056,55.0,5.406118546845124,3.998671128107074,25.592543021032505,0.015984428767876792,0.054244225630319574,0.13479918428457646,0.05159895496212987,0.11881475551669964,0.03890696781992919,2
Belefoungou-Mid,22.0,49.0,1.01,0.43,9.79506,1.70994,414.0,3.661967213114754,4.860032786885246,26.49049180327869,-0.006128449149625506,0.07636164771890083,0.23952112853583807,0.10467865963175609,0.24564957768546358,0.06391317838286051,2
Belefoungou-Top,22.0,49.0,1.01,0.43,9.78986,1.70994,414.0,2.3329743164871584,5.2629826014913,26.812096106048052,0.029133771679959022,0.06311121595428311,0.2785418386806849,0.101041604455979,0.24940806700072576,0.07444894258715279,0
Bia_SHTS_Debiso,24.0,49.0,1.0,0.43,6.66462,-3.09725,228.0,3.79901547116737,3.651068917018284,26.27482419127989,-0.009610133609538597,0.059387383021952365,0.19999529455377774,0.058578559011859765,0.20960542816331632,0.08225887850516052,2
"Bimbilla_SHS,_Bimbilla",10.0,79.0,0.53,0.41,8.86232,0.05191,195.0,2.987083888149135,4.49671105193076,27.454194407456722,0.11584486612218274,0.06699519149105017,0.1623164208926156,0.09442056260590652,0.046471554770432764,0.04613541545257779,1
"Bongo_SHS,_Bongo",10.0,79.0,0.53,0.41,10.9132,-0.81012,223.0,1.8787037037037038,5.808904320987654,28.761882716049385,0.10477887970498787,0.04935407131911424,0.13998277515409063,0.06938370321583306,0.035203895449102664,0.04138803328491222,0
CRIG_(Soil_Moisture_Station_1),24.0,49.0,1.0,0.43,6.23025,-0.34655,228.0,3.6152105263157894,3.6401894736842104,25.491894736842106,-0.04275398049746541,0.05531622829477187,0.19290890745886452,0.0523486854511759,0.23566288795632995,0.07282445270337783,2
CRIG_(Soil_Moisture_Station_2),24.0,49.0,1.0,0.43,6.22984,-0.34698,222.0,3.868662232076866,3.587657058388766,25.41322985957132,-0.03093491713248709,0.06850287775366008,0.1944064820511731,0.05018375936127346,0.22534139918366014,0.07856506982413586,2
